suite,solver,instances,seeds,ok,failed,failures,reference,ci_over,gap_mean,gap_ci95,gap_best_mean,gap_best_ci95,length_mean,time_mean_s,time_total_s
tsp20,"callable:fn=tspgnn.api:solve_distance_greedy,name=greedy(dist)+2opt",1280,1,1280,0,,concorde,instances,0.02007020895888506,0.0014773542404917675,0.020070208958885078,0.0014773542404917669,3.9252554492821488,0.0008087652304524795,1.0352194949791738
tsp50,"callable:fn=tspgnn.api:solve_distance_greedy,name=greedy(dist)+2opt",1280,1,1280,0,,concorde,instances,0.036690397687813035,0.0014480560560327586,0.036690397687813035,0.0014480560560327586,5.895448772031898,0.0009774407374891325,1.2511241439860896
tsp100,"callable:fn=tspgnn.api:solve_distance_greedy,name=greedy(dist)+2opt",1280,1,1280,0,,concorde,instances,0.04297217894935253,0.00112816363290769,0.04297217894935253,0.00112816363290769,8.089691954446138,0.0014314896461101513,1.8323067470209935
tsp500,"callable:fn=tspgnn.api:solve_distance_greedy,name=greedy(dist)+2opt",128,1,128,0,,lkh,instances,0.046047612605625954,0.0016973966491423205,0.046047612605625954,0.0016973966491423205,17.30811434981362,0.01634836080479829,2.092590183014181
tsp1000,"callable:fn=tspgnn.api:solve_distance_greedy,name=greedy(dist)+2opt",128,1,128,0,,lkh,instances,0.04541430138448624,0.0011749311008266948,0.04541430138448624,0.0011749311008266948,24.1684091678832,0.0422602329530406,5.409309817989197
manhattan100:num=128,"callable:fn=tspgnn.api:solve_distance_greedy,name=greedy(dist)+2opt",128,1,128,0,,concorde,instances,0.049434517246944705,0.004189905541468651,0.049434517246944705,0.004189905541468651,10.14877363267279,0.006106794765628365,0.7816697300004307
chebyshev100:num=128,"callable:fn=tspgnn.api:solve_distance_greedy,name=greedy(dist)+2opt",128,1,128,0,,concorde,instances,0.047300799401069966,0.0034833138640256466,0.047300799401069966,0.0034833138640256466,7.258780075436906,0.006370749289004607,0.8154559089925897
clustered100:num=128,"callable:fn=tspgnn.api:solve_distance_greedy,name=greedy(dist)+2opt",128,1,128,0,,concorde,instances,0.05297008523547904,0.004067251072778065,0.05297008523547904,0.004067251072778065,3.81658922176522,0.005792827984379301,0.7414819820005505
nonmetric100:num=128,"callable:fn=tspgnn.api:solve_distance_greedy,name=greedy(dist)+2opt",128,1,128,0,,concorde,instances,0.30983235868672854,0.014241584364854561,0.30983235868672854,0.014241584364854561,2.6549584285462275,0.005558286249922162,0.7114606399900367
manhattan500:num=128,"callable:fn=tspgnn.api:solve_distance_greedy,name=greedy(dist)+2opt",128,1,128,0,,lkh,instances,0.05100265440596288,0.0021457849783046924,0.05100265440596288,0.0021457849783046924,21.768035510519127,0.01778742670309441,2.2767906179960846
chebyshev500:num=128,"callable:fn=tspgnn.api:solve_distance_greedy,name=greedy(dist)+2opt",128,1,128,0,,lkh,instances,0.049963210927638745,0.0017270996441143248,0.049963210927638745,0.0017270996441143248,15.450014385434145,0.02343584899226414,2.99978867100981
clustered500:num=128,"callable:fn=tspgnn.api:solve_distance_greedy,name=greedy(dist)+2opt",128,1,128,0,,lkh,instances,0.0523494042664745,0.0022764617363614783,0.0523494042664745,0.0022764617363614783,8.507279413733361,0.015378024109310218,1.9683870859917079
nonmetric500:num=128,"callable:fn=tspgnn.api:solve_distance_greedy,name=greedy(dist)+2opt",128,1,128,0,,lkh,instances,0.5381578656247643,0.010787378278344388,0.5381578656247643,0.010787378278344388,3.1355072608067145,0.011114154554746847,1.4226117830075964
manhattan1000:num=128,"callable:fn=tspgnn.api:solve_distance_greedy,name=greedy(dist)+2opt",128,1,128,0,,lkh,instances,0.051250180890078365,0.0014576465002156232,0.051250180890078365,0.0014576465002156232,30.425217947160725,0.054682964335924567,6.9994194349983445
chebyshev1000:num=128,"callable:fn=tspgnn.api:solve_distance_greedy,name=greedy(dist)+2opt",128,1,128,0,,lkh,instances,0.05012219274743947,0.0014019052596828468,0.05012219274743947,0.0014019052596828468,21.58560224125595,0.07850985895311169,10.049261945998296
clustered1000:num=128,"callable:fn=tspgnn.api:solve_distance_greedy,name=greedy(dist)+2opt",128,1,128,0,,lkh,instances,0.04992401248745793,0.0017296125662090947,0.04992401248745793,0.0017296125662090947,12.078837804055404,0.04204704397663761,5.382021629009614
nonmetric1000:num=128,"callable:fn=tspgnn.api:solve_distance_greedy,name=greedy(dist)+2opt",128,1,128,0,,lkh,instances,0.641664798927182,0.009714884251639827,0.641664798927182,0.009714884251639827,3.3596815705240752,0.0262712465234074,3.362719554996147
tsplib:max_n=10000,"callable:fn=tspgnn.api:solve_distance_greedy,name=greedy(dist)+2opt",103,1,103,0,,optimum,instances,0.05057014651775772,0.007295014624720595,0.05057014651775772,0.007295014624720595,508961.93203883496,0.22852041763105518,23.537603015998684
tsp10000,"callable:fn=tspgnn.api:solve_distance_greedy,name=greedy(dist)+2opt",16,1,16,0,,"lkh:max_trials=1000,time_limit=300",instances,0.043139274399006874,0.0011702990490733737,0.043139274399006874,0.0011702990490733737,74.87393106598509,6.897452036437471,110.35923258299954
