suite,solver,instances,seeds,ok,failed,failures,reference,ci_over,gap_mean,gap_ci95,gap_best_mean,gap_best_ci95,length_mean,time_mean_s,time_total_s
tsp20,"callable:fn=tspgnn.api:solve,name=gnn+2opt",1280,1,1280,0,,concorde,instances,0.011657807649498678,0.0010698451361762801,0.011657807649498737,0.00106984513617628,3.8923758692220516,0.005701191117183413,7.2975246299947685
tsp20,"callable:fn=tspgnn.api:solve_without_two_opt,name=gnn",1280,1,1280,0,,concorde,instances,0.06243050938240835,0.003334913205237394,0.06243050938240842,0.003334913205237394,4.0892251046868235,0.004367184782034883,5.58999652100465
tsp20,nearest_neighbor,1280,3,3840,0,,concorde,seeds,0.1759991717067003,0.0026461459878718736,0.17599917170670035,0.0026461459878719053,4.525862483239132,0.00018262022682928128,0.7012616710244401
tsp20,nearest_insertion,1280,1,1280,0,,concorde,instances,0.12970437923345676,0.0038123296360247157,0.12970437923345682,0.0038123296360247166,4.341523464584082,0.0011946052195305867,1.529094680999151
tsp20,farthest_insertion,1280,1,1280,0,,concorde,instances,0.02397889756127672,0.0015502031319928914,0.02397889756127678,0.0015502031319928917,3.9403041912611885,0.0012878986499956114,1.6485102719943825
tsp20,random_insertion,1280,3,3840,0,,concorde,seeds,0.04426333023861132,0.0030646257869657383,0.04426333023861138,0.0030646257869657383,4.017235094214456,0.0007788989716222735,2.99097205102953
tsp20,two_opt:init=farthest_insertion,1280,1,1280,0,,concorde,instances,0.015102468708699256,0.0011614151992797295,0.015102468708699315,0.0011614151992797295,3.9060099658259815,0.0014617887195164769,1.8710895609810905
tsp20,lkh,1280,3,3840,0,,concorde,seeds,4.3929964039024384e-07,1.8901537968795281e-06,4.392996404574644e-07,1.8901537968795281e-06,3.8469701141503285,0.0012723962393283255,4.8860015590207695
tsp20,ortools:time_limit=1,1280,1,1280,0,,concorde,instances,1.5320558570918515e-05,2.137148821836853e-05,1.5320558570985562e-05,2.1371488218368384e-05,3.84703593182346,1.0017729305679937,1282.2693511270318
tsp50,"callable:fn=tspgnn.api:solve,name=gnn+2opt",1280,1,1280,0,,concorde,instances,0.027278268756748013,0.0011544123136538857,0.02727826875674804,0.0011544123136538855,5.841930711531186,0.012456516674230755,15.944341343015367
tsp50,"callable:fn=tspgnn.api:solve_without_two_opt,name=gnn",1280,1,1280,0,,concorde,instances,0.11319348621717913,0.00307947232063816,0.11319348621717915,0.00307947232063816,6.330943954522925,0.012125337420316384,15.520431898004972
tsp50,nearest_neighbor,1280,3,3840,0,,concorde,seeds,0.23082204862072367,0.004249122188012891,0.23082204862072375,0.00424912218801294,6.999313650360489,0.00042307541588542107,1.624609597000017
tsp50,nearest_insertion,1280,1,1280,0,,concorde,instances,0.19297718630597185,0.0025127387595886594,0.19297718630597188,0.0025127387595886594,6.781242187140293,0.003296162225017696,4.219087648022651
tsp50,farthest_insertion,1280,1,1280,0,,concorde,instances,0.056833891225535435,0.0017666135403162607,0.05683389122553547,0.0017666135403162607,6.009609401695114,0.0031330291476351136,4.010277308972945
tsp50,random_insertion,1280,3,3840,0,,concorde,seeds,0.07796256788527617,0.0009469969175312473,0.0779625678852762,0.0009469969175312773,6.129218451782444,0.0017491732963587007,6.716825458017411
tsp50,two_opt:init=farthest_insertion,1280,1,1280,0,,concorde,instances,0.045847557588835644,0.0015648442969783342,0.04584755758883567,0.0015648442969783342,5.9475316802801945,0.0034256660273563,4.384852515016064
tsp50,lkh,1280,3,3840,0,,concorde,seeds,2.600290821368967e-05,1.5120900952402685e-05,2.600290821371306e-05,1.5120900952402717e-05,5.6865947552128295,0.010533138404167393,40.44725147200279
tsp50,ortools:time_limit=1,1280,1,1280,0,,concorde,instances,0.015711291736907093,0.0009173161628239885,0.015711291736907124,0.0009173161628239885,5.776038128168452,1.0014386508109383,1281.841473038001
tsp100,"callable:fn=tspgnn.api:solve,name=gnn+2opt",1280,1,1280,0,,concorde,instances,0.03504210412535989,0.0009868959920027098,0.03504210418982429,0.0009868959941283912,8.027920655274851,0.023847411102343584,30.52468621099979
tsp100,"callable:fn=tspgnn.api:solve_without_two_opt,name=gnn",1280,1,1280,0,,concorde,instances,0.13906129171846565,0.0024962292364012167,0.13906129178520502,0.0024962292318719357,8.83451907364886,0.022198857604684007,28.41453773399553
tsp100,nearest_neighbor,1280,3,3840,0,,concorde,seeds,0.24899241967216704,0.003560760317696053,0.24899241974998435,0.0035607603169676666,9.687455722130798,0.0007757371984328169,2.978830841982017
tsp100,nearest_insertion,1280,1,1280,0,,concorde,instances,0.21896198194006916,0.0019286526443360794,0.2189619820153192,0.001928652644556585,9.452914524938663,0.006557952062495787,8.394178639994607
tsp100,farthest_insertion,1280,1,1280,0,,concorde,instances,0.07571137076387761,0.0014093561926156258,0.07571137082725587,0.0014093561861910613,8.343625624236862,0.006335118407050544,8.108951561024696
tsp100,random_insertion,1280,3,3840,0,,concorde,seeds,0.09631418247529326,0.0007024390924602626,0.09631418254305783,0.0007024390942894452,8.503103882248386,0.0035907628229099467,13.788529239974196
tsp100,two_opt:init=farthest_insertion,1280,1,1280,0,,concorde,instances,0.0638860780788724,0.0012940392113508488,0.06388607814225067,0.0012940392060965858,8.251925258743606,0.007139516212501462,9.138580752001872
tsp100,lkh,1280,3,3840,0,,concorde,seeds,4.3566084667637894e-05,1.008100759640598e-05,4.356614630554497e-05,1.0081007596411958e-05,7.756777144174611,0.051160365117186045,196.45580204999442
tsp100,ortools:time_limit=1,1280,1,1280,0,,concorde,instances,0.03158165969022325,0.0009816787501281362,0.031581659755640513,0.0009816787560905256,8.001306909368855,1.0019074881578114,1282.4415848419985
