suite,solver,instances,seeds,ok,failed,failures,reference,ci_over,gap_mean,gap_ci95,gap_best_mean,gap_best_ci95,length_mean,time_mean_s,time_total_s
atsp20:num=128,"callable:fn=tspgnn.api:solve_symmetrized,name=gnn(sym)+2opt",128,1,128,0,,lkh:runs=10,instances,0.4079000924572719,0.026561318059971594,0.407900092457272,0.026561318059971594,2.122075296875,0.021526621851556627,2.755407596999248
atsp20:num=128,"callable:fn=tspgnn.api:solve_symmetrized,gnn=false,name=greedy(dist-sym)+2opt",128,1,128,0,,lkh:runs=10,instances,0.41585295825424073,0.025196521778839402,0.4158529582542409,0.025196521778839406,2.1335427265625,0.0003534323905896031,0.04523934599546919
atsp20:num=128,matnet,128,3,384,0,,lkh:runs=10,seeds,0.005522961804581,0.0008866053447374907,0.005522961804581065,0.0008866053447374821,1.526283203125,0.12294641723958222,47.21142421999957
atsp20:num=128,nearest_neighbor,128,3,384,0,,lkh:runs=10,seeds,0.3274957914314843,0.010745985921056595,0.3274957914314844,0.010745985921056675,2.0107665104166665,9.812098437104548e-05,0.03767845799848146
atsp20:num=128,lkh,128,3,384,0,,lkh:runs=10,seeds,2.133813327141511e-05,9.181057736799525e-05,2.133813327149491e-05,9.18105773679934e-05,1.518247671875,0.004098007591129734,1.5736349149938178
atsp50:num=128,"callable:fn=tspgnn.api:solve_symmetrized,name=gnn(sym)+2opt",128,1,128,0,,lkh:runs=10,instances,0.6665911818981882,0.02128110792047464,0.6665911818981884,0.021281107920474645,2.6089520000000004,0.033223298492146114,4.252582206994703
atsp50:num=128,"callable:fn=tspgnn.api:solve_symmetrized,gnn=false,name=greedy(dist-sym)+2opt",128,1,128,0,,lkh:runs=10,instances,0.6924878337062153,0.02106771843526276,0.6924878337062154,0.02106771843526276,2.6505433203125,0.0005490135234325066,0.07027373099936085
atsp50:num=128,matnet,128,3,384,0,,lkh:runs=10,seeds,0.0144837064608006,0.0011968190206672143,0.014483706460800641,0.001196819020667203,1.5935616979166667,0.36198438144271944,139.00200247400426
atsp50:num=128,nearest_neighbor,128,3,384,0,,lkh:runs=10,seeds,0.34041069901657606,0.013359623021409736,0.3404106990165761,0.0133596230214097,2.1036394895833332,0.00022149812496981744,0.0850552799884099
atsp50:num=128,lkh,128,3,384,0,,lkh:runs=10,seeds,1.029695217332361e-05,1.6376832314458955e-05,1.0296952173371315e-05,1.6376832314474283e-05,1.5707149427083333,0.02615301806251343,10.042758936005157
atsp100:num=128,"callable:fn=tspgnn.api:solve_symmetrized,name=gnn(sym)+2opt",128,1,128,0,,lkh:runs=10,instances,0.8770320034109175,0.01625879040755311,0.8770320034109176,0.01625879040755311,2.9558243359375003,0.053506593992224794,6.848844031004774
atsp100:num=128,"callable:fn=tspgnn.api:solve_symmetrized,gnn=false,name=greedy(dist-sym)+2opt",128,1,128,0,,lkh:runs=10,instances,0.9101389524036233,0.019178224761777066,0.9101389524036234,0.019178224761777066,3.0072274218750006,0.0011001799218703923,0.1408230299994102
atsp100:num=128,matnet,128,3,384,0,,lkh:runs=10,seeds,0.033288753368985374,0.001340129554096584,0.03328875336898541,0.0013401295540965703,1.6291445416666666,0.975114603112002,374.44400759500877
atsp100:num=128,nearest_neighbor,128,3,384,0,,lkh:runs=10,seeds,0.3638302727454923,0.003824124405816593,0.36383027274549234,0.0038241244058165183,2.1502835364583333,0.00036908558336534725,0.14172886401229334
atsp100:num=128,lkh,128,3,384,0,,lkh:runs=10,seeds,2.0760819880168552e-05,2.7672085724573997e-05,2.076081988020932e-05,2.767208572459836e-05,1.5765517421875002,0.08638044608594934,33.17009129700455
